word,f_ev,f_mv,s_prop
antirevolutionair,0,1,0
antisemiet,10,5,0
antistof,6,21,0
antropoloog,41,11,0
antwoord,6063,1204,0
antwoordapparaat,273,4,0
anus,94,1,0
apenbroodboom,0,1,0
apenootje,1,2,1
apotheek,193,17,0
apotheker,94,10,1
apparaat,760,162,0
appartement,1712,114,0
appelbeignet,0,1,1
appelbloesem,1,1,1
appelboom,19,8,0
appelflap,7,3,0
appelmoes,26,1,0
appelsien,0,8,0
appeltaart,115,2,0
appetizer,0,3,1
applicatie,10,4,1
aquaduct,12,16,0
aquarel,6,5,0
ar,7,2,1
ara,2,1,1
aramee,0,3,1
arbeider,136,348,1
arbeidershuisje,0,2,1
arbeiderskind,0,1,0
arbeidersklas,0,1,0
arbeiderswoning,1,1,0
arbeidscontract,7,3,0
arbeidsgeschil,0,1,0
arbeidskracht,2,13,0
arbeidsmogelijkheid,0,1,0
arbeidsplaats,0,2,0
arbeidsprobleem,1,1,0
arbeidster,4,3,1
arbeidsverhouding,1,1,0
arbeidsvoorwaarde,0,4,0
arbiter,6,1,1
arcering,1,1,0
archeoloog,87,29,0
archief,256,83,0
archiefkast,17,1,0
archiefstuk,1,3,0
archipel,2,1,1
architect,247,34,0
are,3,1,0
arena,135,3,1
arendsnest,2,1,0
arendsoog,6,1,0
argument,114,102,0
aria,14,3,1
aristocraat,41,29,0
arm,2795,2249,0
armatuur,3,1,0
armband,274,77,0
armbeweging,0,3,0
armenhuis,36,1,0
armlengte,5,1,1
armleuning,9,2,0
armoedzaaier,48,28,1
aroma,53,1,1
arrangement,15,6,0
arrest,505,1,0
arrestant,28,17,0
arrestatie,549,127,1
arrestatiebevel,155,23,0
arsenaal,87,1,0
artefact,24,26,0
artiest,441,193,0
artillerist,10,1,0
artisjok,6,15,0
arts,1403,552,0
arts-assistent,2,2,0
asbak,134,22,0
asceet,2,2,0
ashram,10,1,1
aspect,119,99,0
asperge,3,38,1
aspirant,20,20,0
aspiratie,6,14,1
aspirientje,71,24,1
aspirine,236,44,1
asrest,0,2,0
assemblage,12,1,1
assepoester,12,1,1
assessor,1,3,0
assistent,903,95,0
assistente,371,9,1
associatie,34,9,1
associé,2,1,1
assuradeur,1,2,1
assurantie,0,1,0
aster,0,2,1
asteroïde,41,9,0
astroloog,22,11,0
astronaut,193,111,0
astronoom,29,17,0
astroïde,3,1,0
atelier,116,5,1
atheïst,62,12,0
atletiekwedstrijd,4,1,0
atmosfeer,310,1,0
atol,12,1,0
atoom,50,56,0
atoombom,142,22,0
atoomduikboot,3,2,0
atoomexplosie,0,1,1
atoomgeleerde,1,1,0
